Boundary Level,Processors,Part 2,Part 1 Attempt 2,Part 1 Attempt 1,Un-Parallel
-100,2,1.079691,0.169912,0.311288,0.113702
-100,6,0.244176,0.221628,0.209951,0.113702
-100,10,0.155696,0.359769,0.20333,0.113702
-100,14,0.121732,0.503253,0.208478,0.113702
-100,18,0.105652,0.610299,1.212568,0.113702
-100,22,0.099352,0.756307,1.218644,0.113702
-100,26,0.096553,0.90322,1.226777,0.113702
-100,30,0.090209,1.052933,1.235544,0.113702
-100,34,1.0091,1.169359,1.239106,0.113702
-100,38,1.00861,1.315266,1.246816,0.113702
-100,42,1.010098,1.474082,1.257227,0.113702
-100,46,1.007772,1.582104,1.263341,0.113702
-100,50,1.009213,1.720295,1.269792,0.113702
-100,54,nan,1.868044,1.269989,0.113702
-100,58,nan,2.016207,1.273968,0.113702
-1000,2,1.732651,0.808844,0.947267,0.727143
-1000,6,0.325808,0.343067,0.668161,0.727143
-1000,10,0.198086,0.426369,0.470109,0.727143
-1000,14,0.151849,0.546753,0.374471,0.727143
-1000,18,0.129526,0.644327,1.322323,0.727143
-1000,22,0.119876,0.784904,1.293477,0.727143
-1000,26,0.11541,0.927412,1.27516,0.727143
-1000,30,0.103908,1.069196,1.262004,0.727143
-1000,34,1.0186,1.178855,1.26067,0.727143
-1000,38,1.017353,1.329361,1.253852,0.727143
-1000,42,1.017438,1.469555,1.258992,0.727143
-1000,46,1.015896,1.585052,1.265015,0.727143
-1000,50,1.016957,1.735604,1.275161,0.727143
-1000,54,nan,1.87646,1.27316,0.727143
-1000,58,nan,2.006554,1.283098,0.727143
-10000,2,8.091371,7.160035,7.366111,6.785325
-10000,6,1.574267,1.576296,5.248298,6.785325
-10000,10,0.874298,1.110733,3.312238,6.785325
-10000,14,0.611386,1.018151,2.397773,6.785325
-10000,18,0.485743,1.008288,2.885953,6.785325
-10000,22,0.404687,1.08191,2.586359,6.785325
-10000,26,0.344976,1.170039,2.35819,6.785325
-10000,30,0.295846,1.286601,2.170694,6.785325
-10000,34,0.468388,1.369677,2.113144,6.785325
-10000,38,0.651917,1.494727,2.001818,6.785325
-10000,42,0.441952,1.617285,1.911772,6.785325
-10000,46,0.621622,1.795757,1.853137,6.785325
-10000,50,0.613129,1.857626,1.803725,6.785325
-10000,54,nan,1.986203,1.763825,6.785325
-10000,58,nan,2.123963,1.746899,6.785325
-100000,2,71.615065,70.651134,71.418312,67.453196
-100000,6,14.068689,14.247951,50.9975,67.453196
-100000,10,7.774323,7.960181,31.728759,67.453196
-100000,14,5.366838,5.744237,22.610345,67.453196
-100000,18,4.173985,4.612883,18.48201,67.453196
-100000,22,3.523273,3.98738,15.482117,67.453196
-100000,26,2.949608,3.598065,13.192974,67.453196
-100000,30,2.571287,3.434617,11.269945,67.453196
-100000,34,2.235044,3.235731,10.612285,67.453196
-100000,38,2.040041,3.176472,9.474735,67.453196
-100000,42,1.800759,3.105086,8.565709,67.453196
-100000,46,1.765413,3.073391,7.964273,67.453196
-100000,50,1.604652,3.106167,7.385809,67.453196
-100000,54,nan,3.148719,6.973225,67.453196
-100000,58,nan,3.202683,6.742882,67.453196
